New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_1,-0.44,0.0
V2_IMOTIF_10,-0.43,0.0
V2_IMOTIF_100,-0.41,0.0
V2_IMOTIF_1000,4.21,0.475
V2_IMOTIF_10000,1.96,0.0
V2_IMOTIF_10001,-0.41,0.0
V2_IMOTIF_10002,-0.45,0.33
V2_IMOTIF_10003,0.15,0.0
V2_IMOTIF_10004,12.79,0.269
V2_IMOTIF_10005,7.08,0.352
V2_IMOTIF_10006,19.82,0.34
V2_IMOTIF_10007,3.63,0.0
V2_IMOTIF_10008,20.65,0.36
V2_IMOTIF_10009,5.79,0.0
V2_IMOTIF_1001,-0.43,0.0
V2_IMOTIF_10010,0.96,0.29
V2_IMOTIF_10011,-0.4,0.0
V2_IMOTIF_10012,-0.39,0.338
V2_IMOTIF_10013,-0.4,0.371
V2_IMOTIF_10014,18.88,0.521
V2_IMOTIF_10015,19.74,0.407
V2_IMOTIF_10016,7.84,0.0
V2_IMOTIF_10017,19.2,0.0
V2_IMOTIF_10018,15.85,0.0
V2_IMOTIF_10019,2.55,0.491
V2_IMOTIF_1002,25.12,0.208
V2_IMOTIF_10020,5.08,0.415
V2_IMOTIF_10021,14.88,0.295
V2_IMOTIF_10022,20.18,0.261
V2_IMOTIF_10023,5.91,0.467
V2_IMOTIF_10024,0.22,0.371
V2_IMOTIF_10025,15.56,0.369
V2_IMOTIF_10026,10.46,0.375
V2_IMOTIF_10027,-0.42,0.318
V2_IMOTIF_10028,15.11,0.213
V2_IMOTIF_10029,1.22,0.38
V2_IMOTIF_1003,11.35,0.318
V2_IMOTIF_10030,-0.38,0.0
V2_IMOTIF_10031,-0.46,0.0
V2_IMOTIF_10032,1.03,0.0
V2_IMOTIF_10033,8.4,0.247
V2_IMOTIF_10034,0.19,0.294
V2_IMOTIF_10035,3.1,0.239
V2_IMOTIF_10036,0.26,0.0
V2_IMOTIF_10037,10.19,0.409
V2_IMOTIF_10038,14.74,0.418
V2_IMOTIF_10039,4.68,0.389
V2_IMOTIF_1004,5.99,0.398
V2_IMOTIF_10040,18.62,0.0
V2_IMOTIF_10041,-0.35,0.0
V2_IMOTIF_10042,14.93,0.0
V2_IMOTIF_10043,17.13,0.299
V2_IMOTIF_10044,-0.38,0.0
V2_IMOTIF_10045,0.09,0.0
V2_IMOTIF_10046,17.74,0.0
V2_IMOTIF_10047,1.02,0.0
V2_IMOTIF_10048,17.22,0.0
V2_IMOTIF_10049,8.69,0.286
V2_IMOTIF_1005,9.99,0.352
V2_IMOTIF_10050,3.4,0.0
V2_IMOTIF_10051,12.39,0.206
V2_IMOTIF_10052,19.25,0.411
V2_IMOTIF_10053,19.55,0.337
V2_IMOTIF_10054,3.49,0.31
V2_IMOTIF_10055,23.27,0.364
V2_IMOTIF_10056,-0.35,0.0
V2_IMOTIF_10057,6.86,0.27
V2_IMOTIF_10058,14.2,0.0
V2_IMOTIF_10059,29.75,0.243
V2_IMOTIF_1006,33.1,0.246
V2_IMOTIF_10060,0.02,0.0
V2_IMOTIF_10061,-0.41,0.38
V2_IMOTIF_10062,8.33,0.257
V2_IMOTIF_10063,28.66,0.289
V2_IMOTIF_10064,26.05,0.354
V2_IMOTIF_10065,2.94,0.384
V2_IMOTIF_10066,14.82,0.325
V2_IMOTIF_10067,12.38,0.0
V2_IMOTIF_10068,1.6,0.0
V2_IMOTIF_10069,17.26,0.278
V2_IMOTIF_1007,23.08,0.356
V2_IMOTIF_10070,15.75,0.0
V2_IMOTIF_10071,6.87,0.0
V2_IMOTIF_10072,20.78,0.204
V2_IMOTIF_10073,0.49,0.381
V2_IMOTIF_10074,2.2,0.0
V2_IMOTIF_10075,-0.49,0.0
V2_IMOTIF_10076,11.16,0.0
V2_IMOTIF_10077,5.55,0.0
V2_IMOTIF_10078,18.62,0.353
V2_IMOTIF_10079,0.39,0.0
V2_IMOTIF_1008,24.87,0.407
V2_IMOTIF_10080,0.59,0.345
V2_IMOTIF_10081,24.2,0.206
V2_IMOTIF_10082,11.63,0.269
V2_IMOTIF_10083,-0.21,0.0
V2_IMOTIF_10084,6.25,0.329
